sequence_length,nw_time_sec,sw_time_sec,n_squared
50,0.0008761526666666667,0.0008282223333333343,2500
100,0.003388666333333333,0.0034004443333333356,10000
200,0.013393319666666667,0.013926333666666665,40000
300,0.03076166666666667,0.03233743033333334,90000
400,0.05391199999999998,0.056459958666666664,160000
500,0.08414355566666665,0.08800062500000005,250000
750,0.19857018066666673,0.20901724966666668,562500
1000,0.34963747233333314,0.3603118469999999,1000000
1250,0.5463582499999999,0.5757773753333337,1562500
1500,0.798104597333333,0.8459821253333342,2250000
